firstname,lastname,birthday,country,rank,gender,club,weight
Alexandre,Martin,2010-03-15,France,CEINTURE_BLANCHE,MASCULIN,Dojo Paris,35
Léa,Dubois,2010-05-22,France,CEINTURE_BLANCHE,FEMININ,Dojo Lyon,32
Thomas,Bernard,2010-07-10,France,CEINTURE_BLANCHE,MASCULIN,Dojo Marseille,38
Emma,Petit,2010-09-03,France,CEINTURE_BLANCHE,FEMININ,Dojo Toulouse,30
Lucas,Moreau,2010-11-18,France,CEINTURE_BLANCHE,MASCULIN,Dojo Nice,36
Chloé,Simon,2010-01-25,France,CEINTURE_BLANCHE,FEMININ,Dojo Bordeaux,33
Nathan,Michel,2010-04-08,France,CEINTURE_BLANCHE,MASCULIN,Dojo Lille,37
Sarah,Leroy,2010-06-12,France,CEINTURE_BLANCHE,FEMININ,Dojo Strasbourg,31
Antoine,Roux,2008-02-14,France,CEINTURE_BLANCHE,MASCULIN,Dojo Nantes,42
Manon,Fournier,2008-04-20,France,CEINTURE_BLANCHE,FEMININ,Dojo Montpellier,39
Hugo,Giraud,2008-06-05,France,CEINTURE_BLANCHE,MASCULIN,Dojo Rennes,45
Jade,Bonnet,2008-08-17,France,CEINTURE_BLANCHE,FEMININ,Dojo Reims,40
Maxime,Dupont,2008-10-30,France,CEINTURE_BLANCHE,MASCULIN,Dojo Dijon,43
Léna,Lambert,2008-12-22,France,CEINTURE_BLANCHE,FEMININ,Dojo Angers,38
Enzo,Rousseau,2008-03-11,France,CEINTURE_BLANCHE,MASCULIN,Dojo Le Havre,44
Camille,Vincent,2008-05-08,France,CEINTURE_BLANCHE,FEMININ,Dojo Clermont,41
Théo,Muller,2006-01-12,France,CEINTURE_JAUNE,MASCULIN,Dojo Paris,48
Océane,Lefebvre,2006-03-25,France,CEINTURE_JAUNE,FEMININ,Dojo Lyon,45
Julien,Andre,2006-05-18,France,CEINTURE_JAUNE,MASCULIN,Dojo Marseille,50
Inès,Mercier,2006-07-30,France,CEINTURE_JAUNE,FEMININ,Dojo Toulouse,46
Kylian,Blanchard,2006-09-14,France,CEINTURE_JAUNE,MASCULIN,Dojo Nice,49
Lola,Garnier,2006-11-07,France,CEINTURE_JAUNE,FEMININ,Dojo Bordeaux,47
Mathis,Faure,2006-02-03,France,CEINTURE_JAUNE,MASCULIN,Dojo Lille,51
Anaïs,Bertrand,2006-04-16,France,CEINTURE_JAUNE,FEMININ,Dojo Strasbourg,44
Raphaël,Morel,2004-01-08,France,CEINTURE_JAUNE,MASCULIN,Dojo Nantes,55
Clara,Fontaine,2004-03-21,France,CEINTURE_JAUNE,FEMININ,Dojo Montpellier,52
Loïc,Chevalier,2004-05-12,France,CEINTURE_JAUNE,MASCULIN,Dojo Rennes,58
Margot,Robin,2004-07-25,France,CEINTURE_JAUNE,FEMININ,Dojo Reims,53
Adrien,Girard,2004-09-18,France,CEINTURE_JAUNE,MASCULIN,Dojo Dijon,56
Pauline,Masson,2004-11-02,France,CEINTURE_JAUNE,FEMININ,Dojo Angers,54
Valentin,Sanchez,2004-12-15,France,CEINTURE_JAUNE,MASCULIN,Dojo Le Havre,57
Amélie,Dupuis,2004-02-28,France,CEINTURE_JAUNE,FEMININ,Dojo Clermont,51
Arthur,Lemoine,2002-01-10,France,CEINTURE_ORANGE,MASCULIN,Dojo Paris,62
Célia,Dufour,2002-03-23,France,CEINTURE_ORANGE,FEMININ,Dojo Lyon,58
Bastien,Olivier,2002-05-16,France,CEINTURE_ORANGE,MASCULIN,Dojo Marseille,65
Léonie,Joly,2002-07-29,France,CEINTURE_ORANGE,FEMININ,Dojo Toulouse,59
Corentin,Gautier,2002-09-11,France,CEINTURE_ORANGE,MASCULIN,Dojo Nice,63
Maëlle,Perrin,2002-11-24,France,CEINTURE_ORANGE,FEMININ,Dojo Bordeaux,60
Quentin,Morin,2002-02-06,France,CEINTURE_ORANGE,MASCULIN,Dojo Lille,66
Elise,Roussel,2002-04-19,France,CEINTURE_ORANGE,FEMININ,Dojo Strasbourg,57
Romain,Nicolas,2000-01-15,France,CEINTURE_VERTE,MASCULIN,Dojo Nantes,70
Zoé,Barbier,2000-03-28,France,CEINTURE_VERTE,FEMININ,Dojo Montpellier,65
Florian,Prevost,2000-05-20,France,CEINTURE_VERTE,MASCULIN,Dojo Rennes,72
Justine,Henry,2000-07-13,France,CEINTURE_VERTE,FEMININ,Dojo Reims,66
Damien,Schmitt,2000-09-05,France,CEINTURE_VERTE,MASCULIN,Dojo Dijon,71
Laure,Roche,2000-11-18,France,CEINTURE_VERTE,FEMININ,Dojo Angers,67
Maxence,Lecomte,2000-01-30,France,CEINTURE_VERTE,MASCULIN,Dojo Le Havre,73
Mélanie,Leclerc,2000-04-12,France,CEINTURE_VERTE,FEMININ,Dojo Clermont,64
Benjamin,Mathieu,1998-02-08,France,CEINTURE_BLEUE,MASCULIN,Dojo Paris,75
Audrey,Caron,1998-04-21,France,CEINTURE_BLEUE,FEMININ,Dojo Lyon,68
Kevin,Poulain,1998-06-14,France,CEINTURE_BLEUE,MASCULIN,Dojo Marseille,77
Stephanie,Renard,1998-08-27,France,CEINTURE_BLEUE,FEMININ,Dojo Toulouse,69
Mickael,Brun,1998-10-19,France,CEINTURE_BLEUE,MASCULIN,Dojo Nice,76
Isabelle,Lemaire,1998-12-02,France,CEINTURE_BLEUE,FEMININ,Dojo Bordeaux,70
Sébastien,Guerin,1996-01-25,France,CEINTURE_MARRON,MASCULIN,Dojo Lille,78
Nathalie,Legrand,1996-03-08,France,CEINTURE_MARRON,FEMININ,Dojo Strasbourg,71
Christophe,Meunier,1996-05-30,France,CEINTURE_MARRON,MASCULIN,Dojo Nantes,80
Valérie,Hubert,1996-07-13,France,CEINTURE_MARRON,FEMININ,Dojo Montpellier,72
François,Renaud,1994-02-17,France,CEINTURE_NOIRE,MASCULIN,Dojo Rennes,82
Marie,Girault,1994-04-30,France,CEINTURE_NOIRE,FEMININ,Dojo Reims,73
Philippe,Bourgeois,1994-06-22,France,CEINTURE_NOIRE,MASCULIN,Dojo Dijon,84
Sylvie,Marchand,1994-08-05,France,CEINTURE_NOIRE,FEMININ,Dojo Angers,74
